 Seri Numarası ,Kategori,Raf,Açıklama,Not,Stok Giriş Tarihi,Yenileme Tarihi
 W907589021500 ,MALAFA,BİNEK PAKET,Dağıtıcı dişli kutusunun tahrik flanşındaki radyal mil keçesinin arka aksa tahrik edilmesi için malafa.,,,
 W000589513100 ,ADAPTÖR,BİNEK PAKET,Motor kaputunun desteklenmesi için adaptör.,Teknik hatırlatma: Destek ile bağlantılı olarak W   170   589   04   63   00. Adaptör araç kilit demirinin korunması için desteğe W   170   589   04   63   00 yerleştirilir,,
 W656589001500 ,MALAFA,BİNEK PAKET,Egzoz turboşarjın ve egzoz turboşarjın döküm korumasının birbirine ortada hizalanması için malafa.,,,
 W654589034000 ,Karşı tutucu,BİNEK PAKET,Titreşim azaltıcısındaki cıvataları gevşetmek ve sıkmak için karşı tutucu. Krank milinin çevirilmesi ve tutulması için karşı tutucu,Teknik hatırlatma: W   654   589   00   40   00 karşı tutucu ile bağlantılı olarak.,,
 W254589006300 ,Çatal parça,BİNEK PAKET,Dengeleme millerini dengeleme mili gövdesine sabitlemek için çatal parçası ,,,
 W907589000900 ,Lokma anahtarı,BİNEK PAKET,Süspansiyon ünitesi başlığındaki süspansiyon ünitesi somununun kumanda edilmesi için lokma anahtar.,,,
 W651589146300 ,Bilgi Yok,BİNEK PAKET,Bilgi Yok,,,
 W177589033200 ,Amortisör çektirmesi,BİNEK PAKET,Bilgi Yok,,,
 W651589146300 ,Projective ring,BİNEK PAKET,Bilgi Yok,,,
 W724589010900 ,Lokma anahtarı,BİNEK PAKET,Yağ karteri tapasını açıp kapatmak için lokma anahtarı Teknik açıklama: Tekli parça W 725 589 02 90 01 lokma anahtar için yedek parça W 725 589 02 90 00 montaj aletinden.,,,
 W608589014000 ,Tutma kilidi,BİNEK PAKET,Takılı şanzımanda volan dişlisinin kilitlenmesi için tutma kilidi.,,,
 W000589403700 ,Kıskaç,BİNEK PAKET,∅ 20   mm'ye kadar olan hortumların ve hortum hatlarının ayrılması için kıskaç.,,,
 W654589004300 ,Takma tertibatı,BİNEK PAKET, Ön radyal mil keçesinin takılması için takma tertibatı.,,,
 W211589003100 ,Fren pedallı kriko için adaptör,BİNEK PAKET,Fren pedallı kriko için adaptör.,,,
 W454589000300 ,Açık ağızlı yıldız anahtar,BİNEK PAKET,18   mm'lik anahtar boyutlu yıldız anahtar lokması püskürtme hatlarının cıvata bağlantısı için.,,,
 W254589013300 ,Çektirme aleti,BİNEK PAKET,Enjekörleri çekip çıkartmak için dışarı çektirme aleti.,,,
 W000589956300 ,Sökme aleti,BİNEK PAKET,Plastik klipslerin sökülmesi için demontaj aleti.,,,
 W000589543700 ,Uç,BİNEK PAKET,30   mm'ye kadar olan hortum hatları için kelepçedir. ,,,
 W447589013100 ,Adaptör seti,BİNEK PAKET, Lift platformu ve araç iskeleti arasında yeterli yerin sağlanması için adaptör seti. Taban altı kaplamasının veya indirgeme maddesi kabı püskürtme korumasının veya park kaloriferi püskürtme korumasının sökülmesi ve takılması esnasında kullanım.,,,
 W724589020900 ,Lokma anahtarı,BİNEK PAKET, Şanzıman yağı seviyesinin kontrolü ve düzeltmesi için lokma anahtarı.,,,
 W000589770300 ,Yıldız anahtar lokması,BİNEK PAKET,"14   mm, 1/4” 4-köşe tahrikli açık ağızlı yıldız lokma anahtar elemanı. Fren hatlarının, fren hortumlarının ayrıca hidrolik hatların (örn.   SBC hidrolik ünitesinin) sökülmesi, takılması için.",,,
 W000589513700 ,PENSE,BİNEK PAKET,Piston segmanlarının ayrılması için pense,,,
 W454589003700 ,Hortum kıskacı pensesi,BİNEK PAKET,Kendiliğinden sıkışan hortum kıskaçlarının ayrılması ve tespit edilmesi için hortum kıskacı pensesi.,,,
 W606589003700 ,Pense,BİNEK PAKET, Manyetik valfleri çekerek vites değiştirme plakasından çıkarmaya yarayan pensedi,,,
 W470589020700 ,Kanallı somun anahtarı,BİNEK PAKET,Tahrik milindeki kanallı somunu sökmeye yarayan kanallı somun anahtarıdır.,,,
 W470589093300 ,Çektirme,BİNEK PAKET,Arka aksın sökülü tahrik millerinden (yan miller) tekerlek rulmanlarını çektirerek çıkarmak için dışarı çektirme aleti.,,,
 W471589021500 ,MALAFA,BİNEK PAKET,Bilgi yok,,,
 W700589181500 ,MALAFA,BİNEK PAKET,Tip 910: Radyal mil keçesinin şanzımanın tahrik miline çakılarak takılması için malafa. Tip 907 Motor 780.6 ile: Arka aks tahriki modülünün radyal mil keçelerinin takılması için malafa.,,,
 W116589001500 ,Bilgi Yok,BİNEK 3/1,Bilgi yok,,,
 W450589000700 ,Depo modülü el aleti,BİNEK 3/1, Depo modülündeki rakor somununun takılması ve sökülmesi için.,"Hatırlatma: Depo modülü aleti, Smart no.: 0014621, MB el aleti kancalı anahtar 639 589 00 07 00 ile aynıdır.",,
 W203589033100 ,Tutucu,BİNEK 3/1,Kremayerli direksiyonda kremayer boşluğunu ölçmeye yarayan komparatör tutucusudur,,,
 W210589072100 ,Tutucu,BİNEK 3/1,Kremayerli direksiyonda kremayer boşluğunu ölçmeye yarayan komparatör tutucusudur,,,
 W724589003300 ,ÇEKTİRME,BİNEK 3/1, 4-Delikli yağ pompası dişlisinin yağ pompasından çekip çıkarılması ve kontralanması için çektirme,,,
 W904589056300 ,Bilgi Yok,BİNEK 3/1,Bilgi yok,,,
 W730589023300 ,Çektirme,BİNEK 3/1,Taşıyıcı mafsalı aks başından çekerek çıkartın.,,,
 W230589003300 ,Çektirme,BİNEK 3/1,Yay bağlantı kolu için çektirme aletidir. Teknik hatırlatma: Sadece W   140   589   00   63   00 basınç aktarım parçası ile birlikte kullanılmalıdır.,,,
 W202589044307 ,Plaka,BİNEK 3/1,"Plaka, W 202 589 04 43 00 için yedek parça çektirme el aleti. Tip 205, 213, 238, 253, 257, 290 olduğunda çekme desteği elastomer yatağının dışarı preslenmesinde altına yerleştirilecek plaka.",,,
 W202589044306 ,Plaka,BİNEK 3/1,Ön aks tekerlek rulmanının dışarı preslenmesi için plaka,,,
 W222589056300 ,Kontrol adaptörü,EQ Dolap,Gerilimsizlik kontrolü için manüel serbest bırakma işlemi.,,9/4/2024,
 W222589066300 ,Kontrol adaptörü,EQ Dolap,Manuel onay süreci sırasındaki gerilimsizliğin tespit edilebilmesi için kontrol adaptörü. Kullanım amacı Tip 222: Taşıyıcı plakadaki gerilimsizliğin kontrolü için kontrol adaptörü.,Hatırlatma: W   222   589   02   63   00 kontrol adaptörü için yedek. ,9/4/2024,
 W711589053100 ,Yerleştirme tertibatı,BİNEK 3/2,Şanzımanda ara parçayı vidalarken bilya yatağını konumlandırmak için. Ana ve grup mili arasında bağlantı parçasının sabitlenmes,,,
 W651589029100 ,Adaptör,BİNEK 3/2, Sızdırmazlık kontrol cihazı W 611 589 02 21 00 ile bağlantılı olarak turboşarj havası sisteminin sızdırmazlık kontrolü için adaptör. ,,,
 W230589003402 ,Bilgi Yok,BİNEK 3/2,Bilgi yok,,,
 W611589001400 ,Takma el aleti,BİNEK 3/2, Ön radyal mil keçesi için içeri çekme tertibatı.,,,
 W906589036300 ,Montaj aleti,BİNEK 3/2,Isıdan koruma kovanının enjektörün üzerine bastırılarak geçirilmesi için montaj el aleti.,,,
 W711589053100 ,Yerleştirme tertibatı,BİNEK 3/2,Şanzımanda ara parçayı vidalarken bilya yatağını konumlandırmak için. Ana ve grup mili arasında bağlantı parçasının sabitlenmesi.,,,
 W271589009100 ,Bağlantı parçası,BİNEK 3/2,Sızdırmazlık kontrol cihazı W611 589 02 21 00 ile bağlantılı kullanım için bağlantı parçası,,,
 W129589000900 ,Bilgi Yok,BİNEK 3/2,Bilgi Yok,,,
 W117589032300 ,Malafa,BİNEK 3/2,Ventil kılavuzunun kontrolü için malafa 9   mm. Kontrol cihazı ,,,
 W906589036301 ,Kovan,BİNEK 3/2, Isı koruyucu kovanların enjeksiyon memesi üzerine bastırılması için olan W   906   589   00   63   00   monatj aleti ile bağlantılı kovan,,,
 W352589002100 ,Bağlantı parçası,BİNEK 3/2,Enjektör delikleri üzerinden kompresyon basıncı kontrolü için bağlantı parçası,,,
 W611589006300 ,Bilgi Yok,BİNEK 3/2,Bilgi Yok,,,
 W611589056300 ,Bilgi Yok,BİNEK 3/3,Bilgi Yok,,,
 W611589014000 ,Bilgi Yok,BİNEK 3/3,Bilgi Yok,,,
 W663589013400 ,Bilgi Yok,BİNEK 3/3,Bilgi Yok,,,
 W140589103300 ,Mesafe Parçası,BİNEK 3/3,W   140   589   06   63   00 kontaklama kutusunda kumanda kutularının kontaklarını W   140   589   01   33   00 montaj levyesi ile ayırmak için aralık parçası.,,,
 W273589009100 ,Adaptör,BİNEK 3/3, Turboşarj hava sisteminin sızdırmazlık kontrolü için adaptör.,,,
 W639589004000 ,Bilgi Yok,BİNEK 3/3,Bilgi Yok,,,
 W169589003700 ,PENSE,BİNEK 3/3,12-V-Prizlerin veya çakmakların sökülmesi için pense.,,,
 W642589019100 ,Adaptör,BİNEK 3/3, Turboşarj hava sisteminin sızdırmazlık kontrolü için adaptör.,,,
 W654589009100 ,Adaptör,BİNEK 3/3, Turboşarj hava sisteminin sızdırmazlık kontrolü için adaptör,,,
 W611589023300 ,Çektirme aleti,BİNEK 3/3,Sıkışan enjektörleri çözmek için çekip çıkartma aleti (temel cihaz),,,
 W211589006300 ,Gevşetme el aleti,BİNEK 3/4,Klima hatlarının sökülmesi için sökme aleti.,,,
 W639589000900 ,Lokma anahtarı,BİNEK 3/4,Öndeki süspansiyon ünitesinin cıvatalarını çözmek ve sıkmak için lokma anahtarı.,,,
 W000589584300 ,Bilgi Yok,BİNEK 3/4,Bilgi Yok,,,
 W202589044301 ,Bilgi Yok,BİNEK 3/4,Bilgi Yok,,,
 W271589014000 ,Tutma tertibatı,BİNEK 3/4, Kumanda zincirini içeri çekmek için tutma tertibatı. Kam mili dişlileri olan kumanda zincirini girişte tutar.,,,
 W202589044302 ,Bilgi Yok,BİNEK 3/4,Bilgi Yok,,,
 W715589056300 ,Adaptör,BİNEK 3/5,Darbeli çektirme 715   589   04   63   00 ile bağlantılı olarak valf elemanını sökmek için adaptör,,,
 W001589692100 ,Ölçme cihazı,BİNEK 3/5, V-kayışı gerginliği için ölçüm cihazı (krikit).,,,
 W950589001500 ,Malafa,BİNEK 3/5,Süspansiyon elemanının fren hattı geçme bağlantısını monte etmek için,,,
 W000589021000 ,Bilgi Yok,BİNEK 3/5,Bilgi Yok,,,
 W613589003300 ,Çektirme,BİNEK 3/5, Titreşim sönümleyici için çektirme aleti.,,,
 W638589033300 ,Bilgi Yok,BİNEK 3/5,Bilgi Yok,,,
 W124589023400 ,Baskı parçası,BİNEK 3/5,Diferansiyel dişli kutusunun yatağının çekilmesi için basınç aktarım parçası. Dağıtıcı dişli kutusunun yatağının çekilmesi için basınç aktarım parçası.,,,
 W442589056300 ,Yağ tablası bastırıcısı,BİNEK 3/5,Motor frenindeki valf yayını sökmek ve takmak için yay tablası bastırıcısı.,,,
 W901589003100 ,Yay gerdirici,BİNEK 3/5,Debriyaj pedalı ölü nokta yayının ön gerdirme işlemi,,,
 W201589013300 ,Çektirme,BİNEK 3/5,Bağlantı rotu (uzun rot) ve direksiyon çekme kolu (kısa rot) küresel mafsalları için çektirme. ,,,
 W601589043300 ,Çektirme,BİNEK 3/5,Bağlantı rotu (uzun rot) ve direksiyon çekme kolu (kısa rot) küresel mafsalları için çektirme.,,,
 W601589024000 ,Tutma kilidi,BİNEK 3/5,Başlatma dişli çemberi taşıyıcısındaki krank mili için durdurma kilidi. ,,,
 W711589006300 ,Senkronize bilezik tutucusu,BİNEK 3/5, Ana mil için senkron tutucuyu monte et.,,,
 W447589006200 ,Tutma tertibatı,BİNEK 3/ORTA,Motorun alttan sabitlenmesi için tutma tertibatı.,,,
 W140589114300 ,Çektirerek sökme ve takma el aleti,BİNEK 3/ORTA,Lastik yatak için çektirme ve takma el aleti - alt enine bugi kolu.,,,
 W129589034305 ,Kovan,BİNEK 3/ORTA,Arka aks yay bağlantı kolu için iç elastomer yatağını içeri bastırmaya yarayan kovandır,,,
 W212589004300 ,Çektirerek sökme ve takma el aleti,BİNEK 3/ORTA,Çekici kol yataklarını çekmek ve içeri itmek için,eksik/hasarlı,,
 W220589064300 ,Presleyerek sökme ve takma aleti,BİNEK 3/ORTA," TİP 171, 172, 203, 204, 205, 206, 207, 209, 211, 213, 214, 215, 216, 219, 220, 221, 222, 223, 230, 231, 236, 238, 253, 254, 257, 295, 296, 297 Enine bağlantı kolu, çekme çubuğu ve süspansiyon bağlantı kolunun elastomer yatağının dışarı- ve içeri preslenmesi için presleyerek sökme ve takma aleti. Tip 164, 166, 169, 245, 251 Ön akstan ve arka akstan tekerlek rulmanın dışarı ve içeri preslenmesi için dışarı presleme ve içeri presleme aleti.",Eksik Parça,,
 W730589004300 ,İçeri ve dışarı presleme aleti,BİNEK 3/ORTA,Tekerlek taşıyıcısında tekerlek poyrası ve tekerlek yatağı için içeri ve dışarı presleme aleti.,Eksik Parça,,
 W230589003400 ,"Çektirme, takma el aleti tamamlama seti",BİNEK 3/ORTA," Tip 211, 219 ve 230'da: Arka aks dişli kutusundaki elastomer yatağının dışarı ve içeri çekilmesine yarayan dışarı ve içeri çekme tertibatı tamamlayıcı setidir. Tip 169 ve 245'te: Ön aks tekerlek rulmanının dışarı ve içeri çekilmesine yarayan dışarı ve içeri çekme tertibatı tamamlayıcı setidir. ",Eksik Parça,,
 W203589004300 ,Çektirerek sökme ve takma el aleti,BİNEK 3/ORTA,Arka aks taşıyıcısındaki ön ve arka lastik yataklar için çektirerek sökme ve takma aleti,,,
 adblue ÇANTA ,ADBLUE ölçüm kabı,BİNEK 3/SON,Adblue ölçüm kabı çantası,Eksik Parça,,
 Motometer Çanta ,Motometer,BİNEK 3/SON,MOTOMETER,,,
 Klima Gaz Kaçağı Çanta ,Klima Gaz Kaçağı,BİNEK 3/SON,Klima Gaz Kaçağı,Eksik Parça,,
 Mitutoyo Bore Gage Çanta ,İç çap ölçüm cihazları,BİNEK 3/SON,İç çap ölçüm cihazları,Eksik Parça,,
 W124589062100 ,Kontrol cihazı çanta,BİNEK 3/SON, Direksiyon basınç ölçme saati (Otobüs),hasarlı,,
 W457589013300 ,Keçe çakacağı,BİNEK 3/SON,Radyal mil keçesinin sökülmesi için veya ön krank milindeki kaset conta halkalarının sökülmesi ve takılması için çektirme tertibatı.,Eksik Parça,,
 W470589056100 ,supap alet çantası,BİNEK 3/SON,"Valf yayının takılması ve sökülmesi için, valf sapı contasının takılması için çektirme aleti ve malafa dahil.",,,
 W470589053300 ,sökme ve takma el aleti ÇANTASI,BİNEK 3/SON,Silindir gömleğinin takılması ve sökülmesi için ve kovan taşmalarının ölçülmesi için.,,,
 W203589016302 ,Germe plakası,BİNEK 2/SON, Ön aks makasının sökülmesi ve takılması için sabitleme plakası.,,,
 W168589026300 ,Germe plakası,BİNEK 2/SON,Gerdirme cihazı 210   589   00   31   00 ve gerdirme cihazı 203   589   01   31   00 için gerdirme plakası (2 adet),,,
 W639589006300 ,Germe plakası,BİNEK 2/SON,Germe plakaları (2 adet) germe cihazı ,,,
 W204589006300 01 02 03 ,Germe plakası,BİNEK 2/SON,Ön aks süspansiyon ünitelerin baş yatağı altlığı için tespit plakası,,,
 W212589006300 ,Adaptör plakası,BİNEK 2/SON, Ön aks yaylarını gerdirmek için adaptör plakası,Eksik Parça,,
 W203589016301 ,Germe plakaları,BİNEK 2/SON,Ön akstaki yay bacağı için germe cihazı 203 589 01 31 00 ile bağlantılı germe plakaları (2 adet),Eksik Parça,,
 W211589016300 ,Germe plakası,BİNEK 2/SON,Ön aksta süspansiyon ünitesi için germe cihazına 203   589   01   31   00 germe plakası.,,,
 W169589026300 ,Germe plakaları,BİNEK 2/SON, Arka aks yaylarının takılması-/sökülmesi için germe plakaları.,Eksik Parça,,
 W230589116300 ,Germe plakası,BİNEK 2/SON,Ön ve arka akstaki süspansiyon ünitesinin yaylarının gerilmesi için gerdirme plakası.,,,
 HAZET 4900-35 ,Amortisör çektirmesi,BİNEK 2/SON,Bilgi Yok,,,
 W164589016301 02 ,Germe plakaları,BİNEK 2/SON, Arka yaylar için 202   589   02   31   00 gerdirme cihazına ait germe plakaları (2 adet).,,,
 W211589036301 02 ,Germe plakaları,BİNEK 2/SON,Germe plakaları Ø   120   mm (2 adet) arka aks yaylarına ilişkin germe cihazı ,,,
 W202589136301 02 ,Germe plakaları,BİNEK 2/SON," Gerdirme plakaları Ø 120 mm (2 adet) şunlarla ilgilidir: W 202 589 01 31 00 gerdirme cihazı ön aks süspansiyon yayı için Tip 116, 123, 124, 129, 170, 201, 202, 208, 210'de (210.08/28 hariç) ve arka aks süspansiyon yayları için Tip 220'de Code 979 ile, Tip 221, 222 Code Z07. ile. Şunlarla ilgili: W 202 589 02 31 00 Gerdirme cihazı arka aks süspansiyon yayları için",,,
 W202589146301 02 ,Germe plakaları,BİNEK 2/SON,"Ön aks makası için W 202 589 01 31 00 gerdirme cihazına ve arka aks makası için W 202 589 02 31 00 gerdirme cihazına gerdirme plakaları ∅ 140   mm (2 adet). Teknik hatırlatma: Ön aks makası için W 202 589 01 31 00 gerdirme cihazı - tip 126, 140. Arka aks makası için W 202 589 02 31 00 gerdirme cihazı - tip 107, 114, 116, 123, 126, 140.",,,
 W639589022300 ,"Süspansiyon seviyesini belirlemek için referans,",BİNEK 2/SON,"Süspansiyon seviyesini belirlemek için referans,",,,
 W001589762100 ,Kompresyon basıncı kayıt cihazı,ORTA / ÇANTA,"Otto motorlar için 3,5...17,5 bar ve dizel motorlar için 10...40 bar komple kompresyon basıncı yazıcısı.",,,
 W177589003100 ,Germe aleti,ORTA / ÇANTA,Aks mafsalının sökülmesi için gerdirme el aleti.,,,
 W611589042100 ,Yakıt fazlası-kontrol cihazı 2 ÇANTA,ORTA / ÇANTA, Enjektörlerin yakıt fazlası miktarını ölçmek için yakıt fazlası kontrol cihazı.,,,
 W256589013300 ,Çektirme ÇANTA,ORTA / ÇANTA, Yağ pompası birimini çekmek ve yağ pompasındaki veya yakıt yüksek basınç pompasındaki zincir dişlisini kontralamak için çektirme aleti.,,,
 W654589003100 ,Montaj plakası ÇANTA,ORTA / ÇANTA,Eksantrik mili dişlisini sökerken ve takarken gerdirme dişlisinin çevrilmesi ve sabitleme pimleri ile emniyete almak için montaj plakası. ,,,
 W001589902100 ,Kayış Ölçüm cihazı ÇANTA,ORTA / ÇANTA,Kayış Ölçüm cihazı ÇANTA,,,
 W646589012100 ,Kontrol cihazı,ORTA / ÇANTA,Yakıt düşük basınç devridaim hattını kontrol etmek için kontrol cihazı.,,,
 W001589832100 ,RADYATÖR BAS. KONT CHZ.,ORTA / ÇANTA,Soğutma sistemi ve radyatör bağlantısı için çantalı kontrol cihazı.,Eksik?,,
 W211589022100 ,Ayar el aleti seti,ORTA / ÇANTA,Silecek kollarının ön ve arka cama dayanma açısının kontrolü ve ayarı için ayarlama el aleti ,,,
 W654589003300 ,Perçin presleme aleti,ORTA / ÇANTA, Kumanda zincirinin yenilenmesi için baskı ve kılavuz parçalı perçin presleme aleti.,,,
 W000589002100 ,Kontrol kutusu,ORTA / ÇANTA,Elektrik sistemlerinin tipe özgü adaptör kablo demetlerine kontaklanması için 189 kutuplu kontrol kutusu (soket kutusu).,,,
 W201589009900 ,Elektro bağlantı seti,ORTA / ÇANTA,KABLO SETİ,,,
 W220589009900 ,Elektro bağlantı seti,ORTA / ÇANTA,KABLO SETİ,,,
 HAZET 4812-10/4S , Hazet Çift Kameralı Video Endoskop Seti ,ORTA / ÇANTA, Hazet Çift Kameralı Video Endoskop Seti ,,,
 W611589022100 ,Sızdırmazlık kontrol cihazı,ORTA / ÇANTA,Sızdırmazlığın kontrol edilmesi ve turboşarj havası sisteminin emiş tarafında kaçak araması. ,,,
 W451589004000 ,Karşı tutucu,ORTA / HTA,Su pompasının kayış kasnağını sabit tutmak için karşı tutucu.,,,
 W651589054000 ,Karşı tutucu,ORTA / HTA,,,,
 W651589064000 ,Karşı tutucu,ORTA / HTA,Viskoz fan kavramasının takılmasında ve sökülmesinde soğutma maddesi pompasının kayış kasnağından kontra yapılması için.,,,
 W906589004000 ,Karşı tutucu,ORTA / HTA,Fan kayış kasnağı veya soğutma maddesi pompasının kontra tutulması için,,,
 W611589004000 ,Karşı tutucu,ORTA / HTA,"Viskoz fan kavramasının takılması, sökülmesi sırasında soğutma maddesi pompası kayış kasnağı için karşı tutucu.",,,
 W651589006100 ,Takma el aleti,ORTA / HTA,Krank mili ön radyal keçesi için çektirme el aleti.,,,
 W651589016100 ,Takma el aleti,ORTA / HTA,Radyal mil keçesi arka krank milinin monte edilmesi için çekme aleti.,,,
 W602589023300 ,Zincir ayırma aleti,ORTA / HTA,Yenilemede kumanda zincirin ayrılması için zincir ayırma aleti,,,
 W642589003300 ,Zincir ayırma aleti,ORTA / HTA,,,,
 W355589016300 ,Darbeli çektirme,ORTA / HTA,"Diferansiyel dişli grubu kilidi kavrama pistonunun, millerin, bağlantı parçalarının ve kapakların sökülmesi için darbeli çektirme.",Eksik Parça?,,
 W642589003300 ,Zincir ayırma aleti,ORTA / HTA,,,,
 W312589075300 ,ÇOLAK ÇEKTİRME,NFZ 1,ÇOLAK ÇEKTİRME,,,
 W655589003533 ,ÇEKTİRME,NFZ 1,ÇEKTİRME,,,
 W447589011500 ,Malafa,NFZ 1,Ön krank mili üzerindeki çalışma halkası için malafa.,,,
 YEŞİL KAPAK ,YEŞİL KAPAK ,NFZ 1,2 ADET,,,
 W400589049100 ,Su kaçağı bulma aparatı,NFZ 1,Su kaçağı bulma aparatı,,,
 W950589006100 ,Merkezleme malafası,NFZ 1,Ø 430 mm'li debriyaj diskinin merkezlenmesinde kullanılan Ø 44 ve kılavuz yatak için Ø 25 mm çaplı merkezleme malafalar,,,
 W906589006100 ,Merkezleme malafası,NFZ 1,Debriyaj diski için 36 mm çaplı debriyaj diskinin ve kılavuz yatak için 25 mm çaplı debriyaj diskinin montajı için merkezleme malafası.,,,
 W766589006300 ,Bilgi Yok,NFZ 1,Bilgi Yok,,,
 W602589001500 ,Malafa,NFZ 1,Bilgi Yok,,,
 W541589013400 ,Mesafe pulu,NFZ 1,Ön radyal mil keçesinin montajı için. Hatırlatma: Çektirme tertibat 541 589 02 33 00 ile bağlantılı olarak.,,,
 W541589003400 ,Mesafe pulu,NFZ 1, Ön radyal keçelerinin sökülmesine yarar. Hatırlatma: 541 589 02 33 00 sökme ve takma el aleti ile birlikte.,,,
 W950589001500 ,Malafa,NFZ 1,Süspansiyon elemanının fren hattı geçme bağlantısını monte etmek için.,,,
 W111589030900 ,NOX SENSÖRÜ REKOR ,NFZ 1," Altıköşe lokma, açık (ağız genişliği 22   mm) ½""-dört köşe tahrik ile, lambda sondasının takılması ve sökülmesi için. Aynı şekilde egzoz gazını sonradan işleme ünitesindeki NOx sensörlerin takılması ve sökülmesi için.",,,
 W001589000300 ,10MM YILDIZ LOKMA,NFZ 1,12x9 mm dört köşe lokma ile birlikte 10 mm açık yıldız anahtar lokması,,,
 W403589026300 ,Malafa,NFZ 1,"Malafa (M16x1,5), volanın veya titreşim amortisörün çıkarılıp alınmasında ve yerleştirilmesinde kılavuz olarak kullanılır. Diğer kullanımı: Krank milinin sökülmesi ve takılması için tespit yardımcısı olarak kullanılır.",,,
 W904589026300 ,Merkezleme malafası,NFZ 1,Volanı çıkarmak ve yerine oturtmak için merkezleme malafası ,,,
 W936589021505 ,Kılavuz zımbası,NFZ 1,Volanı krank milinin üzerine yerleştirmek için. 2 ADET,,,
 W400589009100 ,Adaptör,NFZ 1, Direksiyonun hidrolik basıncını belirlemek için adaptör. Hatırlatma: Sadece 437 589 00 21 00 manometre ve 400 589 01 91 00 hortum ile bağlantılı olarak.,,,
 W400589071500 ,Bilgi Yok,NFZ 1,Bilgi Yok,,,
 W715589143300 ,Çekip çıkarma cıvataları,NFZ 1,Alan grubunu sökmek için çektirme cıvataları.,,,
 W963589086300 ,EL freni kilit açma aparatı,NFZ 1,Gösterge tablosunda elektronik el freninin kumanda kolunun sökülmesi için kilit açma aleti.,,,
 W936589029100 ,sızdırmazlık kontrol cihazı,NFZ 1,Egzoz gazı geri gönderme soğutucusunun sızdırmazlık kontrolü için sızdırmazlık kontrol cihazı. ,,,
 W000589219900 ,Far Temizlik seti,NFZ 1,Far camlarının içten temizlenmesi için temizlik seti.,,,
 W001589007100 ,POMPA,NFZ 1,Bakım çalışmalarında AdBlue® pompa modülü hidrolik akümülatör balonunun doldurulması ve basınç kontrolü için.,,,
 W442589003300 ,ÇEKTİRME,NFZ 1,Ön krank milindeki çalışma halkasını çektirerek çıkarmak için çektirme aleti. Çalışma halkası 403 031 07 27 flanşlı eski model için de kullanılabilir.,,,
 W964589003300 ,ÇEKTİRME ÇANI,NFZ 1,Direksiyon kutusu kumanda parmağını direksiyon dişli kutusundan çekip çıkarmak için çektirme çanı.,,,
 W715589073100 ,Tutma tertibatı,NFZ 1, Vites çatalını split grubuna sabitlemek için,,,
 W963589016300 ,KİLİT ÇÖZÜCÜ,NFZ 1, Basınçlı hava hortumundaki soket bağlantısını kompresör ve basınçlı hava hattı arasından ayırmak için,,,
 W000589183100 ,Fren pedallı kriko,NFZ 1,Fren pedalı kaldıracı,,,
 W936589053300 ,ÇEKTİRME,NFZ 1,Bilgi Yok,,,
 W715589081500 ,Malafa,NFZ 1,Radyal mil keçesinin güç çıkış tarafına çakılması için malafa W715589061500,,,
 W936589011500 ,Malafa,NFZ 1,Pilot yatağın emniyet segmanıyla birlikte volana çakılması için.,,,
 W906589004300 ,Bilgi Yok,NFZ 1,Bilgi Yok,,,
 W604589001500 ,ÇAKMA MALAFA,NFZ 1,Silindir krank gövdesindeki yağ püskürtme memesini hizalama kenarlı çakma zımbası.,,,
 W611589001500 ,ÇAKMA MALAFA,NFZ 1,Krank muhafazasındaki yağ püskürtme çıkışı için hizalama dayanaklı çakma malafası.,,,
 W715589246300 ,Tutma tertibatı,NFZ 1,Enine vites değiştirme tertibatı sökülü iken vites boş konumundayken vites değiştirme kızaklarını tutmak için.,,,
 W715589030700 ,Muylu anahtarı,NFZ 1,Split grubu pistonlarının sökülmesi ve takılması için bir muylu anahtar.,,,
 W221589030900 ,Lokma anahtarı,NFZ 1,Fren kaliperi cıvatalarını çözmek ve sıkmak için. Ön stabilizatör çubuğunun çözülmesi ve sıkılması için. Tork çubuğunda ve arka kamber ayar kolunda somunları çözmek sıkmak için. Arka eksantrik cıvatasında rot ayarının ayarlanması için.,,,
 W963589043100 ,Tutma tertibatı,NFZ 1,Egzoz emisyonu iyileştirme ünitesindeki bakım kapağı gerdirme bandlarının yaylarını demontaj veya montaj sırasında gergin olarak tutmak için.,,,
 W470589035900 ,piston sıkacağı,NFZ 1,"Pistonun silindir çalışma yüzeyine (10,6l) takılmasında",,,
 W936589011400 ,Mesafe pulu,Çekmece,"Arka radyal mil keçesi için takma tertibatı dengeleme pulu, 457 589 01 43 00 takma tertibatı ile birlikte kullanılır.",,,
 W470589042100 ,Euro-6 sentil çanta,NFZ 1,Egzoz supabı ve emme supabının ayarlanması için ayar aleti.,,,
 W611589012100 ,Euro-6 Geri geri dönüş,NFZ 1,Enjektörlerin yakıt fazlası miktarını ölçmek için yakıt fazlası kontrol cihazı. Kontrol cihaz,,,
 W936589014000 ,Tutma tertibatı,NFZ 2, Krank milinin üst ölü noktaya (ÜÖN) sabitlenmesi için tutma tertibatı.,,,
 W470589119106 ,adaptör,NFZ 2,Yakıt alçak basınç devridaim hattının sızdırmazlık kontrolü için adaptör; manometre W 103 589 00 21 01 ve adaptör W 470 589 11 91 05 ile,,,
